DOY,SW,TA,VPD,PA,CA
182,10.778630399999999,283.9006666666667,456.0666666666666,101252.66666666667,394.43375000000003
183,10.553356799999998,283.718,431.20000000000005,101356.33333333333,394.0535
184,11.658239999999997,283.0553333333334,400.13333333333327,101382.0,393.0855
185,11.3216544,284.86300000000006,680.2333333333332,101121.66666666667,390.15999999999997
186,10.795823999999998,285.4653333333333,639.4666666666666,101127.0,390.46875
187,10.9963872,284.364,565.9,101363.66666666667,389.64775
188,11.022508799999999,283.84833333333336,500.6333333333334,101571.0,389.907
189,11.291990400000001,283.10633333333334,409.06666666666666,101647.66666666667,391.02824999999996
190,9.877190399999998,284.1416666666667,491.8666666666666,101408.33333333333,390.28950000000003
191,8.7417792,285.733,476.56666666666666,101278.66666666667,392.05125
192,11.4441984,285.2076666666667,468.7,101477.66666666667,390.18000000000006
193,7.853616,284.4456666666667,359.2,101311.66666666667,389.303
194,9.1384416,285.7803333333334,406.5333333333333,101382.0,392.35875
195,10.6287552,285.5013333333334,454.0666666666666,101449.33333333333,391.6495
196,6.069254399999999,285.521,296.76666666666665,101319.66666666667,390.155
197,8.933903999999998,286.6256666666667,386.26666666666665,101284.33333333333,392.75
198,10.446134399999998,286.939,564.1333333333333,101130.33333333333,392.544
199,10.846339199999997,285.7096666666667,498.06666666666666,100913.0,390.40075
200,7.791983999999999,286.004,554.4,101035.66666666667,387.1395
201,9.6259104,285.94733333333335,639.1,101165.0,387.7965
202,11.777558399999998,284.76500000000004,576.9,101489.33333333333,392.83325
203,11.019484799999999,284.69100000000003,510.06666666666666,101536.0,391.2335
204,10.183651200000002,284.9266666666667,425.29999999999995,101554.0,389.47575
205,8.8891488,285.19900000000007,443.6000000000001,101639.33333333333,392.066
206,10.5242112,285.421,490.5333333333333,101519.33333333333,391.24800000000005
207,10.002787199999998,285.5216666666667,430.1333333333334,101228.33333333333,388.89300000000003
208,12.929616000000001,284.34433333333334,476.3,101286.33333333333,392.08275
209,10.6714368,284.82633333333337,493.3333333333333,101294.66666666667,392.70475
210,11.958768,287.30100000000004,777.5666666666666,101204.0,392.17925
211,11.133590400000001,286.86633333333333,671.5666666666666,101176.0,392.8735
212,9.6984288,287.6073333333334,808.4333333333334,101120.0,393.2795
213,13.072175999999999,285.52799999999996,698.4333333333334,100936.66666666667,392.39475000000004
214,13.208486399999998,284.1406666666667,626.9333333333334,101213.0,393.233
215,14.273913599999998,284.47900000000004,667.6,101285.33333333333,392.5
216,13.7048544,285.79900000000004,715.6999999999999,101250.33333333333,391.56425
217,14.4595872,286.205,760.6999999999999,101222.0,390.6555
218,14.249951999999999,286.65366666666665,852.0,101076.0,391.62675
219,13.977734399999997,284.653,570.0,101258.66666666667,392.7395
220,12.005424,284.78333333333336,533.8666666666667,101179.33333333333,390.9825
221,13.6871424,285.95633333333336,760.3333333333334,101053.0,388.42
222,12.700425599999997,287.1193333333334,920.8666666666667,100937.33333333333,391.23224999999996
223,12.303187199999998,285.4676666666667,662.2666666666667,101238.33333333333,392.63675
224,10.842624,285.788,641.4,101226.66666666667,393.9535
225,14.3539488,286.2166666666667,760.8333333333334,101516.66666666667,392.164
226,15.038351999999998,286.19700000000006,809.0999999999999,101319.0,392.06600000000003
227,15.5904192,286.788,820.2666666666665,101242.33333333333,389.949
228,12.8049696,285.45433333333335,587.1999999999999,100924.0,389.8705
229,13.2719904,287.63200000000006,768.2333333333332,100007.0,389.30400000000003
230,11.115158399999999,287.2533333333334,733.2333333333332,100128.66666666667,392.6275
231,14.610412799999999,287.18966666666665,743.2666666666668,100703.33333333333,388.83525
232,15.235632,284.9653333333333,691.1333333333332,101150.66666666667,392.18625
233,14.2039296,285.0316666666667,606.3333333333334,101227.0,395.1065
234,11.732832,287.09200000000004,664.6666666666667,101025.66666666667,394.38675
235,10.4071968,290.11100000000005,820.9666666666666,100798.66666666667,394.333
236,16.506835199999998,287.9193333333333,685.5666666666667,101167.66666666667,395.1295
237,16.17336,286.8163333333334,661.3666666666667,101286.33333333333,395.67425000000003
238,12.9351456,286.0613333333334,516.9,101318.33333333333,397.04625
239,14.0672736,286.7993333333334,546.2333333333333,101459.66666666667,397.68975
240,15.141024,287.3776666666667,616.3666666666667,101471.0,393.89549999999997
241,14.399740799999998,288.27933333333334,710.0,101193.33333333333,397.95300000000003
242,14.5313568,289.65900000000005,944.8666666666667,100791.0,397.41175
243,16.367097599999997,287.96166666666664,798.9333333333333,101065.0,395.69175
244,17.1257184,287.2093333333334,749.0,101250.66666666667,396.96299999999997
245,15.498057599999996,287.56600000000003,763.6,101236.33333333333,393.65225000000004
246,17.7871392,287.56866666666673,811.3333333333334,101408.0,394.01800000000003
247,16.519104000000002,287.91966666666667,782.7333333333332,101436.0,397.26550000000003
248,17.0115552,290.1776666666667,1058.5666666666666,101163.66666666667,397.33275000000003
249,14.361839999999995,290.997,958.6666666666666,101175.0,397.5435
250,15.6769344,290.20133333333337,945.0333333333334,101125.0,399.339
251,14.2721856,288.632,599.2666666666667,101342.66666666667,398.0085
252,16.4219616,290.71000000000004,861.4,100961.0,396.04575
253,20.3609664,292.59333333333336,1377.9333333333332,100452.33333333333,398.95349999999996
254,19.657324799999998,289.95033333333333,1041.2666666666667,100875.0,400.73275
255,15.195657599999999,289.12,810.0333333333333,101123.33333333333,395.90225
256,14.3483904,288.18100000000004,666.8000000000001,100957.66666666667,394.9355
257,18.3907008,288.47,643.6666666666666,100807.0,396.52624999999995
258,19.047657599999997,288.75233333333335,658.8333333333334,101075.66666666667,392.56874999999997
259,11.8564992,289.0716666666667,587.5666666666667,100549.66666666667,394.9405
260,16.846214399999997,289.921,827.2666666666668,100174.33333333333,394.7455
261,19.633622399999997,289.7366666666667,918.5666666666666,100386.66666666667,397.033
262,20.755152,288.6756666666667,942.4333333333334,100557.33333333333,396.37825000000004
263,20.9291904,288.36733333333336,791.3000000000001,100819.33333333333,395.6125
264,20.413728000000003,289.91466666666673,906.3000000000001,101009.33333333333,396.06499999999994
265,21.633206400000002,289.58200000000005,871.1999999999999,101090.33333333331,394.65649999999994
266,22.946457600000002,290.9686666666667,1093.0666666666668,100742.66666666667,392.89175
267,19.5352992,291.4406666666667,1182.4333333333332,100407.33333333333,392.22349999999994
268,17.213097599999998,291.83700000000005,1086.7,100518.66666666667,395.87875
269,21.5660736,291.1676666666667,1011.4333333333334,100680.66666666667,393.7775
270,22.657161599999995,291.1396666666667,1062.9333333333332,100961.0,395.76975
271,23.209171199999997,294.04900000000004,1580.7,100393.0,393.71425
272,22.729823999999997,292.68233333333336,1382.8999999999999,100415.33333333333,391.73525
273,21.907756799999998,292.992,1699.4000000000003,100614.33333333333,394.85175
274,21.2567616,291.32033333333334,1329.3666666666666,100877.33333333333,396.171
275,23.910364799999996,290.0733333333333,1088.4333333333332,101249.0,394.40975000000003
276,19.5238656,290.2773333333334,964.6666666666666,101094.66666666667,391.15599999999995
277,24.242687999999998,291.84633333333335,1174.0666666666666,101052.0,394.11925
278,23.8248576,295.06733333333335,1837.2666666666667,100648.33333333333,390.90675
279,21.826656,295.3046666666667,1542.9666666666665,100335.66666666667,393.64875
280,23.105145599999997,292.7633333333333,1352.3,100262.66666666667,394.25025
281,18.475343999999996,289.05,654.1666666666666,100773.0,394.01599999999996
282,21.958041599999998,290.834,1015.4999999999999,100748.0,393.792
283,23.894841599999996,293.71633333333335,1673.5333333333335,100252.66666666667,392.197
