DOY,LAI
1,1.2555205047318618
2,1.2555205047318618
3,1.2555205047318618
4,1.2555205047318618
5,1.2555205047318618
6,1.2555205047318618
7,1.2555205047318618
8,1.2555205047318618
9,1.2555205047318618
10,1.2555205047318618
11,1.2555205047318618
12,1.2555205047318618
13,1.2555205047318618
14,1.2555205047318618
15,1.2555205047318618
16,1.2555205047318618
17,1.2555205047318618
18,1.2555205047318618
19,1.2555205047318618
20,1.2555205047318618
21,1.2555205047318618
22,1.2555205047318618
23,1.2555205047318618
24,1.2555205047318618
25,1.2555205047318618
26,1.2555205047318618
27,1.2555205047318618
28,1.2555205047318618
29,1.2555205047318618
30,1.2555205047318618
31,1.2555205047318618
32,1.2555205047318618
33,1.2555205047318618
34,1.2555205047318618
35,1.2555205047318618
36,1.2555205047318618
37,1.2555205047318618
38,1.2555205047318618
39,1.2555205047318618
40,1.2555205047318618
41,1.2555205047318618
42,1.2555205047318618
43,1.2555205047318618
44,1.2555205047318618
45,1.2555205047318618
46,1.2555205047318618
47,1.2555205047318618
48,1.2555205047318618
49,1.2555205047318618
50,1.2555205047318618
51,1.2555205047318618
52,1.2555205047318618
53,1.2555205047318618
54,1.2555205047318618
55,1.2555205047318618
56,1.2555205047318618
57,1.2555205047318618
58,1.2555205047318618
59,1.2555205047318618
60,1.2555205047318618
61,1.2555205047318618
62,1.2555205047318618
63,1.2555205047318618
64,1.2555205047318618
65,1.2555205047318618
66,1.2555205047318618
67,1.2555205047318618
68,1.2555205047318618
69,1.2555205047318618
70,1.2555205047318618
71,1.2555205047318618
72,1.2555205047318618
73,1.2555205047318618
74,1.2555205047318618
75,1.2555205047318618
76,1.2555205047318618
77,1.2555205047318618
78,1.2555205047318618
79,1.2555205047318618
80,1.2555205047318618
81,1.2555205047318618
82,1.2555205047318618
83,1.2555205047318618
84,1.2555205047318618
85,1.2555205047318618
86,1.2555205047318618
87,1.2555205047318618
88,1.2555205047318618
89,1.2555205047318618
90,1.2555205047318618
91,1.2555205047318618
92,1.2555205047318618
93,1.2555205047318618
94,1.2555205047318618
95,1.2555205047318618
96,1.2555205047318618
97,1.2555205047318618
98,1.2555205047318618
99,1.2555205047318618
100,1.2555205047318618
101,1.2555205047318618
102,1.2555205047318618
103,1.2555205047318618
104,1.2555205047318618
105,1.2555205047318618
106,1.2555205047318618
107,1.2555205047318618
108,1.2555205047318618
109,1.2555205047318618
110,1.2555205047318618
111,1.2555205047318618
112,1.2555205047318618
113,1.2555205047318618
114,1.2555205047318618
115,1.2555205047318618
116,1.2555205047318618
117,1.2555205047318618
118,1.2555205047318618
119,1.2555205047318618
120,1.2555205047318618
121,1.2555205047318618
122,1.2555205047318618
123,1.2555205047318618
124,1.3659305993690856
125,1.4763406940063093
126,1.493240198287517
127,1.5101397025687249
128,1.5270392068499326
129,1.5439387111311405
130,1.5608382154123481
131,1.5777377196935558
132,1.5946372239747637
133,1.6115367282559714
134,1.6284362325371793
135,1.645335736818387
136,1.6622352410995949
137,1.6791347453808025
138,1.6960342496620102
139,1.7129337539432181
140,1.7298332582244258
141,1.7467327625056337
142,1.7636322667868414
143,1.7805317710680493
144,1.797431275349257
145,1.8143307796304646
146,1.8312302839116725
147,1.8481297881928802
148,1.865029292474088
149,1.8819287967552958
150,1.8988283010365037
151,1.9157278053177114
152,1.932627309598919
153,1.949526813880127
154,1.9562430039686585
155,1.96295919405719
156,1.9696753841457217
157,1.9763915742342533
158,1.9831077643227848
159,1.9898239544113163
160,1.9965401444998478
161,2.0032563345883796
162,2.009972524676911
163,2.0166887147654426
164,2.023404904853974
165,2.0301210949425057
166,2.0368372850310372
167,2.0435534751195688
168,2.0502696652081003
169,2.0569858552966322
170,2.0637020453851638
171,2.0704182354736953
172,2.077134425562227
173,2.0838506156507584
174,2.09056680573929
175,2.0972829958278214
176,2.103999185916353
177,2.1107153760048845
178,2.117431566093416
179,2.124147756181948
180,2.1308639462704795
181,2.137580136359011
182,2.1442963264475425
183,2.151012516536074
184,2.1577287066246056
185,2.066246056782335
186,1.9747634069400641
187,1.971308397175906
188,1.967853387411748
189,1.96439837764759
190,1.9609433678834318
191,1.957488358119274
192,1.9540333483551158
193,1.9505783385909576
194,1.9471233288267997
195,1.9436683190626416
196,1.9402133092984835
197,1.9367582995343255
198,1.9333032897701674
199,1.9298482800060093
200,1.9263932702418514
201,1.9229382604776932
202,1.919483250713535
203,1.9160282409493772
204,1.912573231185219
205,1.909118221421061
206,1.905663211656903
207,1.9022082018927449
208,1.8987531921285867
209,1.8952981823644288
210,1.8918431726002707
211,1.8883881628361125
212,1.8849331530719546
213,1.8814781433077965
214,1.8780231335436384
215,1.8745681237794805
216,1.8711131140153223
217,1.8676581042511642
218,1.8642030944870063
219,1.8607480847228481
220,1.85729307495869
221,1.853838065194532
222,1.850383055430374
223,1.8469280456662158
224,1.843473035902058
225,1.8400180261378998
226,1.8365630163737416
227,1.8331080066095837
228,1.8296529968454256
229,1.8257273045916576
230,1.8218016123378897
231,1.8178759200841217
232,1.8139502278303539
233,1.8100245355765858
234,1.806098843322818
235,1.80217315106905
236,1.798247458815282
237,1.794321766561514
238,1.790396074307746
239,1.7864703820539782
240,1.7825446898002102
241,1.7786189975464421
242,1.7746933052926743
243,1.7707676130389063
244,1.7668419207851385
245,1.7629162285313704
246,1.7589905362776026
247,1.7550648440238346
248,1.7511391517700665
249,1.7472134595162987
250,1.7432877672625307
251,1.7393620750087628
252,1.7354363827549948
253,1.731510690501227
254,1.727584998247459
255,1.7236593059936909
256,1.719733613739923
257,1.715807921486155
258,1.7118822292323872
259,1.7079565369786192
260,1.7040308447248513
261,1.7001051524710833
262,1.6961794602173152
263,1.6922537679635474
264,1.6883280757097794
265,1.6844023834560116
266,1.6804766912022435
267,1.6765509989484757
268,1.6726253066947077
269,1.6686996144409396
270,1.6647739221871718
271,1.6608482299334038
272,1.6569225376796357
273,1.6529968454258679
274,1.627760252365931
275,1.602523659305994
276,1.577287066246057
277,1.55205047318612
278,1.526813880126183
279,1.501577287066246
280,1.501577287066246
281,1.501577287066246
282,1.501577287066246
283,1.501577287066246
284,1.501577287066246
285,1.501577287066246
286,1.501577287066246
287,1.501577287066246
288,1.501577287066246
289,1.501577287066246
290,1.501577287066246
291,1.501577287066246
292,1.501577287066246
293,1.501577287066246
294,1.501577287066246
295,1.501577287066246
296,1.501577287066246
297,1.501577287066246
298,1.501577287066246
299,1.501577287066246
300,1.501577287066246
301,1.501577287066246
302,1.501577287066246
303,1.501577287066246
304,1.501577287066246
305,1.501577287066246
306,1.501577287066246
307,1.501577287066246
308,1.501577287066246
309,1.501577287066246
310,1.501577287066246
311,1.501577287066246
312,1.501577287066246
313,1.501577287066246
314,1.501577287066246
315,1.501577287066246
316,1.501577287066246
317,1.501577287066246
318,1.501577287066246
319,1.501577287066246
320,1.501577287066246
321,1.501577287066246
322,1.501577287066246
323,1.501577287066246
324,1.501577287066246
325,1.501577287066246
326,1.501577287066246
327,1.501577287066246
328,1.501577287066246
329,1.501577287066246
330,1.501577287066246
331,1.501577287066246
332,1.501577287066246
333,1.501577287066246
334,1.501577287066246
335,1.501577287066246
336,1.501577287066246
337,1.501577287066246
338,1.501577287066246
339,1.501577287066246
340,1.501577287066246
341,1.501577287066246
342,1.501577287066246
343,1.501577287066246
344,1.501577287066246
345,1.501577287066246
346,1.501577287066246
347,1.501577287066246
348,1.501577287066246
349,1.501577287066246
350,1.501577287066246
351,1.501577287066246
352,1.501577287066246
353,1.501577287066246
354,1.501577287066246
355,1.501577287066246
356,1.501577287066246
357,1.501577287066246
358,1.501577287066246
359,1.501577287066246
360,1.501577287066246
361,1.501577287066246
362,1.501577287066246
363,1.501577287066246
364,1.501577287066246
365,1.501577287066246
