DOY,SW,TA,VPD,PA
1,7.909199780273438,261.64541641235354,19.86977607011795,98344.0320301848
2,9.043199780273438,257.54749980926516,12.913228571414948,98297.18167359695
3,5.045399890136719,264.68708339691165,13.576632738113403,98377.87982161212
4,5.506200109863282,268.857916507721,10.602673888206482,98423.06261116573
5,8.967599780273439,271.8870833253861,64.12593722343445,98455.018832032
6,9.007200000000001,270.00166646003726,45.54885923862457,98435.21187778901
7,7.9434000000000005,271.31625,29.751035571098328,98449.05074719831
8,9.2826,265.3308335876465,34.63031053543091,98384.94518639214
9,9.6552,263.6433335876465,35.18691956996918,98366.35189189007
10,9.6876,268.81208339691165,71.18986248970032,98422.57362858474
11,6.353999780273438,271.06208339691165,43.798187375068665,98446.38543223872
12,5.6484000000000005,273.03916666269305,1.5949608758091927,98466.98878534621
13,3.614399890136719,273.19125,0.31223439145833254,98468.56145016327
14,1.9116000000000002,275.09541669845584,0.0,98488.10659108798
15,1.6038000000000001,273.66208336114886,21.749919652938843,98473.41929421114
16,1.8414000000000001,271.6975000238419,37.57501542568207,98453.03948001433
17,5.490000109863281,269.62041679382327,39.87537622451782,98431.17344379365
18,8.368199780273438,270.8641666507721,19.59269791841507,98444.30655726236
19,3.538799890136719,269.86000004768374,35.57123839855194,98433.71257548555
20,7.163999780273438,265.84125009536746,46.03629410266876,98390.52314009545
21,10.193399780273438,269.139166507721,55.975425243377686,98426.05959704281
22,9.809999780273438,271.18916669845584,47.97626435756683,98447.71870691763
23,5.8284002197265625,272.468333337307,28.655672073364258,98461.0704273896
24,7.5276000000000005,268.3537499046326,39.31494057178497,98417.67469917174
25,11.289600439453126,267.2975002861023,85.32688021659851,98406.32168958394
26,2.7197999450683596,271.2287500238419,28.60262393951416,98448.13373701366
27,10.148400219726563,268.08499971389773,49.573323130607605,98414.79444547548
28,3.5460001098632814,269.9475001430512,9.373482316732407,98434.63880144696
29,2.3417999450683595,275.535,19.47494149208069,98492.58071415579
30,1.8287999450683594,274.87666669845584,0.5761972162872553,98485.87486070492
31,2.259000054931641,273.25791666269305,12.527550756931305,98469.25029195446
32,11.278800439453125,271.03083339691165,49.09954071044922,98446.0573884398
33,10.5138,259.98916641235354,38.69016170501709,98325.27223887404
34,7.507800219726563,269.46416679382327,78.45075130462646,98429.51508388629
35,9.583199780273437,275.0683333015442,44.98140513896942,98487.83047127533
36,3.3642000000000003,271.87249997615817,12.195560336112976,98454.8666708557
37,11.923200000000001,274.42041662693026,43.05950701236725,98481.20879092244
38,7.779599780273438,274.6766667699814,43.989720940589905,98483.83134745642
39,5.839200219726563,283.6891662216187,19.415079057216644,98573.08862872628
40,0.7145999725341797,279.0412499046326,35.54553687572479,98527.76877654836
41,13.419,266.5120832061768,71.00138664245605,98397.82205859624
42,11.878200439453126,268.9850002861023,84.80895161628723,98424.41757652025
43,5.3676,272.91416666269305,52.93312668800354,98465.69488706432
44,2.9538,275.3495833015442,0.032953693880699575,98490.69524628606
45,1.296,276.44125,0.0,98501.76022715823
46,2.8674,273.9350000357628,1.0226360522210598,98476.22756745333
47,3.3534,271.2933333253861,34.520089626312256,98448.81063422111
