DOY,LAI
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,1.42253406014
127,1.4270572208615384
128,1.431580381583077
129,1.4361035423046156
130,1.4406267030261537
131,1.4451498637476923
132,1.4496730244692309
133,1.4541961851907692
134,1.4587193459123078
135,1.4632425066338461
136,1.4677656673553845
137,1.472288828076923
138,1.4768119887984614
139,1.48133514952
140,1.6716558370376924
141,1.8619765245553845
142,2.0522972120730767
143,2.242617899590769
144,2.432938587108462
145,2.623259274626154
146,2.813579962143846
147,3.0039006496615386
148,3.1942213371792305
149,3.3845420246969233
150,3.5748627122146157
151,3.7651833997323076
152,3.95550408725
153,3.9729505644692855
154,3.9903970416885715
155,4.0078435189078565
156,4.025289996127143
157,4.042736473346428
158,4.060182950565714
159,4.077629427785
160,4.095075905004285
161,4.112522382223571
162,4.129968859442856
163,4.147415336662143
164,4.164861813881428
165,4.182308291100714
166,4.19975476832
167,4.235940054386
168,4.272125340452
169,4.308310626518
170,4.344495912584
171,4.38068119865
172,4.333511093608571
173,4.286340988567143
174,4.2391708835257145
175,4.192000778484285
176,4.144830673442857
177,4.0976605684014284
178,4.05049046336
179,4.066213831707143
180,4.081937200054286
181,4.0976605684014284
182,4.113383936748572
183,4.129107305095714
184,4.144830673442857
185,4.16055404179
186,4.176277410137143
187,4.192000778484285
188,4.207724146831429
189,4.223447515178571
190,4.2391708835257145
191,4.254894251872857
192,4.2706176202199995
193,4.286340988567143
194,4.302064356914285
195,4.317787725261429
196,4.333511093608571
197,4.349234461955714
