DOY,SW,TA,VPD,PA
1,7.448728491210938,281.2949496841431,0.0,98549.92857164842
2,7.555255883789063,279.0887943840027,0.0,98528.23991722974
3,6.303210644531251,279.7797948455811,0.0,98535.06949629953
4,7.03674052734375,280.7460028266907,0.0,98544.56338570485
5,6.782111279296875,279.04827085495,0.0,98527.83836044684
6,7.186411889648438,278.11322847366336,0.0,98518.54068365695
7,4.25739111328125,276.04488745689395,3.5972513258457184,98497.75275488284
8,6.257478076171875,275.9031733608246,2.5233976542949677,98496.31717485843
9,7.271758520507813,275.93653098106387,0.0,98496.65522254206
10,7.504344799804688,275.12371424198153,9.295589476823807,98488.39503192705
11,7.196609399414063,274.44998744487765,56.97345733642578,98481.51167642846
12,6.594237817382813,272.09050956726077,56.71902298927307,98457.13967983336
13,7.238184521484375,271.7457335329056,67.0815646648407,98453.5433227727
14,7.607498510742188,273.0589889547229,77.70640850067139,98467.19386202352
15,6.236925512695313,274.1957726812363,59.95230674743652,98478.90571805034
16,6.012497241210938,273.6938300466538,12.030928581953049,98473.746247543
17,5.678796752929688,275.0961163377762,1.8831295892596245,98488.11372331713
18,3.3117487426757815,275.27495566368106,0.93500055372715,98489.93566310973
19,6.571410424804688,275.1809438800812,0.0,98488.97820245576
20,6.397892578125,276.59131732940676,0.0,98503.27453822733
21,7.084591040039063,277.6490174865723,1.9141316413879395,98513.90176363885
22,2.9064287109375,277.6695934867859,59.43806171417236,98514.10770701822
23,3.3513628051757816,276.3451923465729,0.0,98500.79006772628
24,0.27973130493164067,278.0130640602112,31.680402159690857,98517.54102356647
25,9.189792773437501,277.65310445785525,128.09545993804932,98513.94267217709
26,5.78704921875,276.81764832496646,109.15029048919678,98505.5553467375
27,4.711895837402344,276.90823355674746,108.80310535430908,98506.46716978133
28,2.000714337158203,277.9075085258484,134.85363721847534,98516.48678812954
29,2.654937158203125,275.15292647838595,21.46896868944168,98488.69273484075
30,2.0548405700683596,275.1991104221344,57.876551151275635,98489.1632695512
31,1.2289821075439453,276.1635583972931,53.22713255882263,98498.95378465223
32,9.852566308593751,275.8385728931427,53.22713255882263,98495.66228088082
33,9.511727563476564,274.0972830986977,128.8899064064026,98477.89481611225
34,9.313969702148437,273.8368943667412,165.49772024154663,98475.21871123314
35,2.2362031494140626,275.75950757026675,100.31427145004272,98494.86033514354
36,10.135278588867187,277.24505439758303,146.71826362609863,98509.85241206585
37,11.423643310546876,276.6904129123688,175.358247756958,98504.27360948107
38,11.536131005859376,275.9799317455292,176.33196115493774,98497.09492699605
39,8.390526855468751,275.7080825901032,150.65997838974,98494.33849654006
40,5.69362236328125,276.5533556079865,132.33405351638794,98502.89162464088
41,5.886829907226563,274.84346786499026,139.32539224624634,98485.53585279355
42,9.6031142578125,274.59439567089083,147.1025824546814,98482.98988262042
43,10.451094213867188,274.64199355602267,180.62844276428223,98483.47677224712
44,6.440095239257813,273.5282885169983,162.8796935081482,98472.04054121587
45,10.883085644531251,273.63831293940547,153.3690333366394,98473.17443787497
46,11.767384423828126,274.2068808412552,178.29357385635376,98479.01968770979
